Name;Schreckliche Eigenschaften;Kaputte Körper;Schlechte Angewohnheiten;Beunruhigende Geschichten;Art des Todes;Offene Schuld
Skelmorvathandriel;;;;;;
Darvunkelthosgrima;;;;;;
Vethkulandaromskel;;;;;;
Nortgavelthimbruvask;;;;;;
Hargulvendrathoskim;;;;;;
Albrimthorveldkanus;;;;;;
Quelvanthorskimdara;;;;;;
Jotnarvelgundramoth;;;;;;
Mürkelvandrathoskum;;;;;;
Falthundraveskimonar;;;;;;
Bröntharvelguskidam;;;;;;
Walgrimthovundreskal;;;;;;
Snörvandelthorbuskim;;;;;;
Prügelvandrathoskimun;;;;;;
Vael’drun’thask;;;;;;
Krul’veth’arn;;;;;;
Jor’khal’trüm;;;;;;
Brag’noth’vel;;;;;;
Thar’gul’venn;;;;;;
Skel’var’thun;;;;;;
Mur’dak’hel;;;;;;
Vrol’thag’rim;;;;;;
Kel’dras’vorn;;;;;;
Hruk’vel’dar;;;;;;
Zorn’gul’thesk;;;;;;
Narg’thrul’vask;;;;;;
Vel’drim’kor;;;;;;
Ulv’nash’gra;;;;;;
Krel’voth’nar;;;;;;
Drak’mur’thal;;;;;;
Gor’vel’kurn;;;;;;
Tal’grun’veth;;;;;;
Jar’thul’mek;;;;;;
Snar’vok’tren;;;;;;
Brün’thag’vul;;;;;;
Var’kesh’drun;;;;;;
Mör’vak’thul;;;;;;
Kran’der’vask;;;;;;
Thrul’gorn’esh;;;;;;
Hesk’var’ton;;;;;;
Yl’grath’ven;;;;;;
Quor’vak’til;;;;;;
Zhar’mlok’ven;;;;;;
Brel’thun’gar;;;;;;
Brüünthel;;;;;;
Gröömskäl;;;;;;
Hüürgvlön;;;;;;
Vöörthüm;;;;;;
Näälgrüb;;;;;;
Krööntvääl;;;;;;
Flüüghnör;;;;;;
Skäärvülm;;;;;;
Prööglün;;;;;;
Träävsköll;;;;;;
Grümthäl;;;;;;
Blöödnür;;;;;;
Määrghül;;;;;;
Kläörvünn;;;;;;
Drüüsnäk;;;;;;
Vlööthrän;;;;;;
Snäävrökk;;;;;;
Bräähntvür;;;;;;
Krüülthön;;;;;;
Würmträäl;;;;;;
Näögdrüü;;;;;;
Plöötschkää;;;;;;
Häärrgvöl;;;;;;
Strüübnäth;;;;;;
Klööfdrämm;;;;;;
Gräävkrüll;;;;;;
Vüülnörg;;;;;;
Zöölthrään;;;;;;
Brüüsglön;;;;;;
Dräämflökk;;;;;;
