Ausrüstung 1;Ausrüstung 2;Ausrüstung 3;Ausrüstung 4;Waffe;Rüstung;Waffe (mit Schriftrolle);Rüstung (mit Schriftrolle);Unreine Schriftrollen;Heilige Schriftrollen;Name;Schreckliche Eigenschaften;Kaputte Körper;Schlechte Angewohnheiten;Beunruhigende Geschichten
;Werkzeugkasten 10 Nägel, Zange, Hammer, kleine Säge und Bohrmaschine;Hälfte einer Schere;Leinensack mit Körperteilen;Kandare W4 Schaden;Vergoldete Turnierplatte (-W8 Schaden, Stufe 1);;;Steinschlag;Zunge des Wurms;Arvün;Undankbar;Gespaltene Zunge.;Je schrecklicher etwas ist, desto liebenswerter und harmloser erscheint es dir.;Du trägst das Zeichen von Goonfun, dem Retter.
;schwere Kette 5 Meter;Rollbandmaß, nur 4cm lang;zerbrochener Spiegel;Abgebrochener Kelch W4 Schaden;Zahlreiche Bandoliere, gefüllt mit Messinghülsen (-W4 Schaden, Stufe 1);;;Stuhl schwächen;;Brakt;Egozentrisch;Augenlider mit Kohle bemalt, immer.;Immer extrem entschuldigend gegenüber denen, die du getötet hast.;Du warst ein Handelsmatrose, bis du gefangen genommen und gezwungen wurdest, als Pirat zu arbeiten.
;Enterhaken;Fingerhut, viel zu groß;lange Eisenkette;Büßergeisel 2W4 Schaden;Nasse Leinwand-Tunika (+W1 Schaden, Stufe -1);;;Taumeln;;Brumn;Oberflächlich;Hässliche Narbe, wo früher die Lunge war.;Lache unkontrolliert über alles Schreckliche.;Ein ausländischer Würdenträger wurde vergiftet. Du warst der Koch.
;Schild (-1 LP Schaden oder den Schild brechen, um einen Angriff zu ignorieren);Leere Vogelpfeife;"Buch: ""Zauberer-Kampf""";Lauch W2 Schaden;Rostige Kettenreste (-W1 Schaden, Stufe 0);;;Tenser's Gloating Disc;;Dagrul;Furchtlos;Geboren mit sechs Fingern an jeder Hand.;Nachdem du eine Kreatur getötet hast, rufst du immer denselben Spruch, so laut du kannst.;Ein großer Musiker hat einmal dein Dorf besucht und dir ein Lied beigebracht, das alle Zuhörer begeistert.
;Brechstange (W4 Schaden);Kartenspiel, drei Karten fehlen;gebogenes Ritualmesser (W4);Toter Fisch W2 Schaden;Durchlöcherte Wachstuchjacke (-W1 Schaden, Stufe 0);;;Tinte;;Darvek;Intrigant;Kleine Augen, die jeden misstrauisch machen.;Du bist gezwungen, jedes Vorhaben anzukündigen, bevor du es tust.;Ein Straßenräuber hat dich gezwungen, eine Münze zu werfen, um dein Leben oder das deines Bruders zu gewinnen. Die Münze landete auf der Seite und verschonte euch beide.
;Schmalz (kann notfalls als 5 Mahlzeiten verwendet werden);Karte eines Ortes der nicht existiert;Kettenhemd, Torso noch darin;Käsereibe W2 Schaden;Verrußtes Festgewand aus dünner Seide (+W2 Schaden, Stufe -1);;;Tpyo;;Drösk;Nörgelnd;Haare grob wie Borsten.;Du hörst den Klang einer lauten Blaskapelle spielen. Immer.;Ein verrückter Angelunfall hat dich deine Hand gekostet. Aber dieser Haken funktioniert ziemlich gut.
;Zelt;Karte eines Ortes, völlig falsch gezeichnet;Hundehalsband mit Kette;Suppenkelle W2 Schaden;Zerfetztes Banner als Umhang (-W0 Schaden, Stufe 0);;;Traurige Geige;;Dvorn;Schicksalsergeben;Schlechter Rücken und schlechte Körperhaltung.;Du singst alles, was du sagst.;Ein verrückter Kanuunfall hat dich dein Bein gekostet. Aber du hast dich an den Ruderstumpf gewöhnt.
;{PRÄ+4}x Fackel;Sehr langer Bindfaden, nutzlos verknüpft;Beutel mit Salz;Sehr schweres Buch W4 Schaden;Blecherne Topfdeckel-Brustplatte (-W1 Schaden, Stufe 0);;;Umrühren;;Elbrü;Sprunghaft;Du glaubst du entwickelst Kiemen und musst zu einem Wasserbewohner werden.;Du findest alles, was versucht, dich zu töten, unglaublich attraktiv.;Mit dem Blut deiner ersten Tötung noch an deinen Händen, wurde dir deine wahre Bestimmung klar.
;Laterne mit Öl für {PRÄ+6}h;Kleines Kissen, durchgeschwitzt;rußiger Silberring;Lebende Gans W2 Schaden;Enger Wollpullover mit Metallknöpfen (-W1 Schaden, Stufe 0);;;Verdammter Fleck;;Fargha;Kalt;Deine linke und rechte Hand sind vertauscht.;Wenn du hinterhältig oder trügerisch bist, wirst du immer kicherig.;Nachdem du deinen Ehering wegen einer Spielschuld verloren hattest, hat dich die Liebe deines Lebens verlassen.
;Magnesiumband;Huf eines unbekannten Tieres;Wimpel von einem gesunkenen Schiff;Nasser Lappen W1 Schaden;Vollgestopfter Strohumhang (brennt gut) (+W2 Schaden, Stufe -1);;;Verschone die Lebenden;;Fetmal;Abergläubisch;Ein dunkler Nebel umgibt deinen Kopf.;Du glaubst, dass jede Leiche, die nicht verbrannt wird, zurückkommt, um wieder zu töten.;Vor langer Zeit hast du eine Rieseneule aus einer Schlingenfalle gerettet. Sie kommt immer noch gelegentlich zurück, um dir zu helfen.
;Feuerstahl und Zunder;Parfümflakon, riecht nach nichts;gehäutete menschliche Haut;Kerzenständer W4 Schaden;Lederweste mit dekorativen, aber hohlen Nieten (-W1 Schaden, Stufe 0);;;Verunreinigen;;Florn;Schnippisch;Eine dicke, stinkende Flüssigkeit tritt aus deinem Mund aus, sobald du sprichst.;Du hast eine Abscheu vor Seifenblasen. Scheiß auf Seifenblasen.;Du kannst Lügen schmecken. Seit du das weißt, kannst du fast niemanden mehr ansehen.
;Phosphorröhrchen (einmalig, sehr helles Licht für W4 Runden);Münze mit zwei identischen Seiten;Decke (mit Flöhen);Harke W4 Schaden;Schuppen aus getrocknetem Brot (+W2 Schaden, Stufe -1);;;Zeitkontrolle;;Garvek;Öde;Dir wächst ein zusätzliches Bein.;Alles fühlt sich angenehmer an, wenn man es dem Zufall überlässt. Du triffst keine wichtigen Entscheidungen, ohne dafür eine Münze zu werfen.;Du hast einmal in einem Traum einen Ort gesehen, den es eigentlich nicht gibt. Seitdem versuchst du, ihn zu finden. Du bist dir nicht mehr sicher, ob das eine gute Idee ist.
;Metallfeile und Dietriche;Kleines Säckchen Sand;verkohlte Metallhalskette;Gefrorener Schinken W6 Schaden;Dünne Glas-Überrobe mit Rissen (+W2 Schaden, Stufe -1);;;Ziegenkäse;;Glötna;Unruhig;Fünf Zoll lange Fingernägel. Sie wachsen einfach weiter.;Du besitzt ein Buch, das sich selbst neu schreibt. Jeden Morgen steht etwas anderes darin. Heute steht dein Name darin. Zweimal durchgestrichen.;"Du wurdest von einem blinden Orakel in Grift berührt. Es sagte: „Du wirst die letzte Person sein, die stirbt."" Seitdem bist du dir nicht sicher, ob das gut oder schrecklich ist."
;Brechstange;Kleines Säckchen noch feinerer Sand;zerbrochene Leder-Rüstung;Bettstatt-Bein W4 Schaden;Kettenhemd aus Draht und Büroklammern (-W1 Schaden, Stufe 0);;;Zupfen;;Gremul;Goldfieberisch;Schleimige Schuppen wachsen über deine Haut.;Irgendwann hast du aufgehört, Hunger zu spüren. Du weißt nicht mehr, wann du zuletzt gegessen hast. Du wirkst trotzdem gut genährt. Das beunruhigt alle.;Du kannst keine Musik mehr hören, ohne zu weinen. Du weißt nicht warum. Es passiert auch bei Vogelgesang. Und bei Windgeräuschen. Und beim Knarren von Holz.
;Hammer und {W6+4}x Eisennägel;Getrockneter Frosch, flach;{W4}x Goldzahn im Wert von je 10s;Kleines Kind W2 Schaden;Rüstung aus geschnürten Tierblasen (+W1 Schaden, Stufe -1);;;Zwicken;;Grutva;Ein Tyrann;;Du kannst keine Türen schließen. Nicht aus Vergesslichkeit – du bist physisch nicht in der Lage dazu. Die Hände zittern, sobald du es versuchst.;Du vertraust Tieren mehr als Menschen. Das hat bisher meistens gut funktioniert. Meistens.
;Enterhaken mit 10m Seil;Knopf mit eingesticktem beleidigenden Kommentar;Schere (W4);Sack voller Mäuse W2 Schaden;Messingdraht-Korsett (-W1 Schaden, Stufe 0);;;;;Halvorn;Beleidigend;;Du nimmst wahr, dass alles, was zu dir gesagt wird, in einem sarkastischen Tonfall gesprochen wird.;Jeder, dem du sagst, dass du aus deiner Heimatstadt kommst, schaut dich seltsam an. Du hast inzwischen herausgefunden: Die Stadt existiert nicht mehr. Schon seit zwanzig Jahren nicht.
;Seil 10m;Sehr detailliertes Bild eines Kohlkopfes;Spitzhacke (W4);Weinschlauch W2 Schaden;Patchwork-Rüstung aus gesammelten Schilden (-W2 Schaden, Stufe 0);;;;;Hentrul;Barbarisch;;Trinken ist das einzige Mittel, um Ihre zerrissenen Nerven zu beruhigen. Du trinkst sehr viel.;Eine Inquisitorin der Basilisken hat dich dreimal verhört und dreimal freigelassen. Beim vierten Mal wird sie das nicht mehr tun.
;Schwere Kette 5m;Kleines Holzpferd, ein Bein fehlt;Halsband mit Pentagramm-Amulett;Riesiger Rettich W2 Schaden;Leuchtender Stoffoverall, zieht Angriffe an (+W1 Schaden, Stufe -1);;;;;Hlort;Klagend;;Brutalität: Erschlagene Feinde müssen zerhackt werden.;Du schuldest der Einäugigen Diebesgildenchefin von Galgenbeck einen Gefallen. Sie hat noch nicht gesagt, welchen. Das ist das Schlimmste daran.
;Schaufel;Zahnbürste ohne Borsten;blutiger Bohrer;Käfig mit wütender Katze W4 Schaden;Mit Stroh ausgepolsterte Gardinen-Robe (-W1 Schaden, Stufe 0);;;;;Hruveg;Kritisch;;Du verehrst das Erste, was du jeden Morgen siehst.;Die Ritter der Blutgräfin suchen dich – nicht wegen eines Verbrechens, sondern weil Anthelia träumt, dass du ihr etwas Wichtiges nehmen wirst.
;Zange;Trichter ohne Öffnung am Ende;Buch der Psalmen;Spazierstock W2 Schaden;Gefrorener Schlammbrustpanzer (schmilzt schnell) (-W0 Schaden, Stufe 0);;;;;Jalvik;Zerstörerisch;;Je schrecklicher etwas ist, desto liebenswerter und harmloser erscheint es dir.;Ein Nekromant hat dich verflucht, stellvertretend für jemand anderen. Er hat die falsche Person erwischt. Er weiß es. Er sucht dich, um es zu korrigieren. Auf seine Art.
;Kleiner Spiegel (um Ecken zu schauen);Leere Tabakdose mit fremden Initialen;Maske mit Vogelschnabel;Frisch gebackenes Brot W1 Schaden;Rüstung aus Dutzenden Löffeln und Gabeln (+W1 Schaden, Stufe -1);;;;;Jertha;Oberflächlich;;Nachdem du eine Kreatur getötet hast, schreist du immer denselben Spruch so laut du kannst.;Du hast einen Brief abgefangen, der nie für dich bestimmt war. Der Absender weiß, dass du ihn hast. Der Empfänger auch.
;Kreide {W6+4}x (Markierungen, Zeichen);Kerze, bereits heruntergebrannt und nie aufgehört;Holzkohlezeichnung eines Dämons;Tamburin W2 Schaden;Goldene Zeremonienrüstung aus dünnem Blech (-W1 Schaden, Stufe 0);;;;;Kalthu;Unreif;;Du entschuldigst dich immer extrem bei denen, die du getötet hast.;Eine Sekte glaubt, dass du ihre Prophezeite bist. Du bist es nicht. Das macht es nicht besser.
;Kletterausrüstung (Haken, Riemen);"Zettel: „Nicht vergessen"" – nichts weiter";ein halber toter Hund;Unsichtbare Waffe W2 Schaden;;;;;;Kelbrün;Wankelmütig;;Wenn du hinterhältig oder trügerisch bist, musst du immer kichern.;Du sammelst Zähne. Du weißt nicht warum. Du hörst nicht auf.
;Hausapotheke {PRÄ+4}x (stoppt Blutungen/Infektionen, heilt W6 LP);Steinerner Würfel, alle Seiten zeigen eine 3;ziemlich ausgefallene Augenklappe;;;;;;;Klarveg;Zynisch;;Du bist gezwungen, jede Absicht anzukündigen, bevor du sie ausführst.;Ein kleines, schweigendes Kind folgt dir seit drei Wochen. Du kannst es nicht loswerden. Niemand sonst scheint es zu sehen.
;Verbandsmaterial {W4+2}x (stoppt Blutungen);Fingerring, zu groß für jeden menschlichen Finger;Hammer und ein paar Nägel;;;;;;;Knutha;Nachsichtig;;Du lachst unkontrolliert über alles Schreckliche.;Du hast einmal in Sarkash eine Frucht gegessen, die es nicht geben sollte. Seitdem können Tiere deine Stimmung riechen. Sie meiden dich bei schlechter Laune.
;Gegengift {W2}x (Zähigkeit Sg10 entfällt);Ein Schädel mit einer frischen Rose darin. Die Rose welkt nie. Der Schädel riecht trotzdem.;Kugel und Kette (und ein Fuß);;;;;;;Kvelm;Opportunistisch;;Du sprichst andere nur noch mit „Pisser“ an.;Du hast einem sterbenden Wahrsager seine letzten Worte versprochen weiterzugeben. Du weißt nicht, an wen. Du weißt nicht, was sie bedeuten. Du kannst sie nicht vergessen.
;Wasserschlauch für {PRÄ+4} Tage;Ein Tagebuch ohne Einträge, aber jede Seite ist von Tränen gewellt.;scharfes Feuereisen (W4+1);;;;;;;Largun;Schwerfällig;;Du glaubst plötzlich, dass du eine riesige rote Spinne bist.;"Ein Händler in Grift hat dir eine Kiste verkauft, ""für den richtigen Moment."" Sie ist verschlossen. Etwas darin atmet."
;Getrocknete Rationen für {PRÄ+4} Tage;Ein kleines Wachsfigürchen, das dir sehr ähnlich sieht. Du hast es nie besessen.;ein Paar warme Socken (durchnässt);;;;;;;Leskri;Spießig;;Du kannst niemanden ansprechen ohne vorher kurz zu husten;Du hast als Kind in Graven-Tosk gespielt und dabei aus Versehen ein Grab geöffnet. Etwas darin hat dein Gesicht gesehen. Es sucht dich.
;Salz (konserviert, desinfiziert, hält manche Dinge fern);"Ein Zahn in einem Medaillonanhänger. Auf der Innenseite steht: „Damit du mich nicht vergisst.""";Kiste mit schwarzen Federn;;;;;;;Lortva;Machthungrig;;"Du nennst jeden Ort dem du länger als 10 Minuten bist „Zuhause"" und wirst traurig beim Verlassen";Du hast in Galgenbeck eine Predigt gehalten, die alle Zuhörer zum Weinen brachte. Du weißt nicht mehr, was du gesagt hast. Alle, die es gehört haben, suchen dich.
;Bärenfalle (Präsenz Sg14 zum Entdecken, W8 Schaden);"Ein Buch über Giftpilze. Jemand hat die gefährlichsten mit „lecker"" kommentiert.";beschädigtes Wolfsfell;;;;;;;Malturn;Übertrieben phantasievoll;;Du bestehst darauf, bei jeder Mahlzeit Tischmanieren einzuhalten, egal wo;Du warst Henker in Kergs, bis du begannst, die Hingerichteten im Traum zu sehen. Sie geben dir Ratschläge. Meistens schlechte.
;Bombe (versiegelte Flasche, W10 Schaden);"Ein eingemachtes Glas mit einem menschlichen Ohr. Frisch beschriftet: „Fundstück, Kergs.""";verdorbenes Fleisch (2 Tage lang);;;;;;;Marveg;Scheinheilig;;Du hörst anderen nicht zu, nickst aber überzeugend;Du hast für König Fathmu XI. eine Karte zu einem verbotenen Ort gestohlen. Die Karte hat sich inzwischen selbst verändert. Sie zeigt jetzt deinen Standort.
;{W4}x rotes Gift (Zähigkeit Sg12 oder W10 Schaden);Eine Kerze aus Menschenfett. Brennt sehr gleichmäßig. Riecht verdächtig heimelig.;kleines Kästchen mit einer weißen Murmel;;;;;;;Methrul;Angespannt;;Wenn zwei SC streiten, versuchst du immer zu vermitteln, verschlimmerst es aber regelmäßig;Du warst Mitglied einer Theatergruppe, bis alle anderen Mitglieder spurlos verschwanden. Die Kostüme blieben zurück. Sie bewegen sich nachts.
;{W4}x schwarzes Gift (Zähigkeit Sg14 oder W6 Schaden + Blindheit 1h);Ein Würfelbecher aus einem ausgehöhlten Fingerknochen. Sehr ergonomisch.;Krug mit einer Nadel darin;;;;;;;Mürga;Trendig;;Du lehnst es ab, durch Türen zu gehen die breiter als du bist – du fühlst dich dabei unwohl;Du hast einen Priester der Basilisken beim Stehlen erwischt. Er weiß, dass du weißt. Du weißt, dass er dich sucht.
;{W3}x Rauchbombe (Sichtweite 0 für W4 Runden);Ein Brief, adressiert an dich, datiert auf nächsten Monat. Der Inhalt ist eine Entschuldigung.;hölzernes Gebiss;;;;;;;Narvek;Eifrig;;Du weigerst dich, denselben Gegner zweimal zu treffen – das wäre unfair;Als Wachmann hast du aus Mitleid einen Gefangenen freigelassen. Der Gefangene hat dann etwas Schreckliches getan. Du wirst damit in Verbindung gebracht.
;Blasrohr mit {W6+4}x Giftpfeilen (Zähigkeit Sg10 oder W4 Schaden);Ein Tintenfass, das sich selbst nachfüllt. Die Tinte ist immer etwas zu warm.;Glücksbringer (na ja...);;;;;;;Nlthor;Zornig;;Immer wenn du eine Probe bestehst, schaust du demonstrativ die anderen an;Du hast für ein Jahr in den Minen unter Bergen Chrypt gearbeitet. Was du dort gesehen hast, darf niemand wissen. Du redest nicht darüber. Außer im Schlaf.
;Streumetall (auf Boden: Geschick Sg12 oder W4 Schaden, verlangsamt);Ein aufgezogenes Spielzeugherz. Tickt. Hört auf, wenn jemand in der Nähe stirbt.;W6 leere Schriftrollen;;;;;;;Nögrith;Ängstlich;;Du kämpfst grundsätzlich nur rückwärtsgehend wenn du unter 50% LP bist;Jedes Mal, wenn du lügst, wächst ein weiterer Finger an deiner linken Hand. Du trägst inzwischen einen sehr großen Handschuh.
;Silbernes Kruzifix;Ein Spiegel, der nur lächelt, egal was du machst.;Laterne;;;;;;;Peltrum;Egoistisch;;Du zückst deine Waffe immer mit einer kleinen Verbeugung;Du hast das Fleisch eines Zauberers gegessen, um zu überleben. Seitdem sprechen seine Gedanken in dir. Sie sind nicht freundlich.
;Hölzernes Kruzifix;Ein Buch mit leeren Seiten außer der letzten: eine detaillierte Beschreibung deines Todes.;ein Paar hölzerne Handschellen;;;;;;;Quarva;Steif;;Du verlässt einen Kampf kurz um zu erbrechen sobald Blut fließt – dann kommst du zurück;Deine Schatten bewegt sich nicht mehr synchron zu dir. Manchmal macht sie Dinge, die du gar nicht tust.
;Schutzsymbol gegen Untote (einmalig verwendbar);Eine Sanduhr, die nach oben läuft.;Gefäß mit 3 abgetrennten Daumen;;;;;;;Raktul;Rückgratlos;;Wenn du lügst, riecht es kurz nach verbranntem Haar;Ein Chirurg in Schleswig hat versehentlich eine zweite Zunge in deinem Hals zurückgelassen. Sie spricht manchmal im Schlaf. In einer Sprache, die du nicht kennst.
;Weihwasser {W2}x (W6 Schaden gegen Untote);Ein kleines Glasfläschchen mit einem Seufzer darin. Wenn geöffnet: traurig, aber erleichtert.;Verknotetes Knäuel aus Menschenhaar;;;;;;;Relvek;Zänkisch;;Du kannst nicht pfeifen – aber du versuchst es ständig;Du stirbst jede Nacht kurz. Du wachst jeden Morgen auf. Seit einem Jahr fragst du dich, wann es aufhört.
;spitze Nadel;Eine Münze, die immer auf die gleiche Seite fällt, egal wie oft man wirft.;Daumenschraube;;;;;;;Rötma;Leichtgläubig;;Regen weicht dir aus – du wirst nie nass, weißt aber nicht warum;Dein linkes Auge sieht die Welt, wie sie in zehn Jahren aussehen wird. Das rechte sieht sie jetzt. Die Diskrepanz macht dich krank.
;Schreibzeug (Tinte, Feder, Pergament);Ein Knäuel schwarzer Wolle. Das Ende ist nirgends zu finden. Es wird nicht weniger.;sehr kleines Hufeisen;;;;;;;Salbrun;Streitsüchtig;;Tote Tiere stehen kurz auf wenn du an ihnen vorbeigehst – nur für einen Moment, dann fallen sie wieder um;Du hast eine Wette mit einem Dämon verloren. Er hat dein Spiegelbild behalten. Du hast keines mehr.
;Fernrohr (einfach, scratchy);Ein Notizbuch voller Zeichnungen von Türen. Keine davon existiert.;Schaufel (W4);;;;;;;Skortva;Offensichtlich;;Du wirst grundsätzlich nicht seekrank, aber dafür bei jeder Treppe kurz schwindelig;Eine Hexe hat dir dein Gewicht gestohlen. Du wiegst nichts. Starker Wind ist eine ernste Gefahr.
;Kleiner Wetzstein;"Eine Haarsträhne in einem versiegelten Umschlag, beschriftet: „Nicht verbrennen.""";Halskette aus Rattenzähnen;;;;;;;Skülm;;;Du glaubst Fallen funktionieren nicht wenn man sie ignoriert;Du erbrichst jeden Vollmond kleine schwarze Steine. Sie sind warm. Sie hören auf zu zittern, wenn du sie weglässt.
;Flickzeug für Rüstung (1x Rüstung um 1 Stufe reparieren);Ein kleiner Holzkasten mit einem zufriedenen Summen darin. Geht nicht auf.;eine halbe Schatzkarte;;;;;;;Slarvek;;;Du bist überzeugt dass Schreien im Kampf den Schaden erhöht – und brüllst entsprechend;Deine Tränen sind Tinte. Du hast gelernt, damit zu schreiben. Die Texte sagen manchmal Dinge voraus.
;Verschlossenes Tagebuch (leer, aber gut gebunden);Eine Puppe ohne Gesicht. Jeden Morgen sitzt sie anders.;Flasche mit rotem Gift;;;;;;;Snötha;;;Du hältst Schweigen für unhöflich und füllst jede Pause sofort;
;;Ein Buch mit Rezepten für Speisen, die alle mindestens einen menschlichen Zahn als Zutat erfordern.;kleines Holzpferd;;;;;;;Talgrum;;;Du glaubst Magie funktioniert besser wenn man dabei sitzt;
;;Ein Schlüsselbund mit 40 Schlüsseln. Einer davon öffnet etwas. Unbekannt was.;schwere Eisenzange;;;;;;;Tarkvül;;;Immer wenn du eine Tür öffnest, klopfst du vorher – auch bei Felswänden und Truhen;
;;Ein sehr kleines Aquarium. Das Wasser ist schwarz. Es bewegt sich trotzdem etwas darin.;schwarzer Sack mit einem Katzenherz;;;;;;;Telthar;;;Du flüsterst Zahlen wenn du Treppen steigst. Immer. Auch wenn die Treppe nur zwei Stufen hat;
;;Eine Schachtel voller Zähne, säuberlich nach Größe sortiert. Sehr ordentlich geführt.;großer Klumpen Kohle;;;;;;;Trevga;;;Du hast eine sehr feste Meinung darüber wie Knochen gestapelt werden sollten und korrigierst das wo immer du es siehst;
;;Ein Kompass, der immer auf eine bestimmte Person in der Gruppe zeigt.;zwei abgetrennte Hände;;;;;;;Ulvarg;;;"Immer wenn jemand „danke"" sagt, antwortest du mit „Das werden wir sehen""";
;;Ein Kinderschuh. Nur einer. Innen steht ein Name, den du nicht aussprechen kannst.;kindergroße eiserne Jungfrau;;;;;;;Ürtmal;;;Du trägst einen kleinen Stein den du für einen Freund hältst. Er hat einen Namen. Du konsultierst ihn bei wichtigen Entscheidungen;
;;"Eine Flasche Wein, speziell abgefüllt für „den letzten Abend.""";;;;;;;;Velnug;;;Du kannst Richtungen nur in Bezug auf den nächsten Friedhof beschreiben;
;;Ein Notizbuch ausschließlich mit Strichlisten. In die Millionen gehend.;;;;;;;;Vörthan;;;Du beißt zur Begrüßung in Gegenstände um ihre Qualität zu prüfen – auch Türen, Waffen, Personen;
;;Ein kleiner Käfig mit einer Feder darin. Die Feder bewegt sich, als wäre noch etwas da.;;;;;;;;Walgru;;;Wenn du stirbst, hinterlässt du eine sehr detaillierte, sehr kurze Kritik der Todesumstände;
;;Ein Tontopf. Darin befindet sich ein großer roter Rubin aus Glas.;;;;;;;;Zaltrum;;;Immer wenn jemand hustet schneidest du sofort eine Scheibe von deinem eigenen Brot ab und reichst sie rüber;
;;Ein toter Vogel an einer Schnur, die an das Ende eines Stocks gebunden ist. Sehr ablenkend.;;;;;;;;Gkrtvs;;;Du hast eine ausgeprägte Meinung zu jedem Hut den du siehst und teilst sie ungefragt mit;
;;Ein totes Kaninchen mit einer Glückskaninchenpfote um den Hals.;;;;;;;;Blrntch;;;Du nennst alle Monster beim falschen Namen und lässt dich auch nach Korrekturen nicht umstimmen;
;;Ein totes, verwildertes Frettchen mit vier gebrochenen Füßen.;;;;;;;;Vzkhrl;;;Du verlässt dich bei allen Entscheidungen auf den Geruch des Windes – auch wenn es keinen Wind gibt;
;;Ein verfluchter Rubin. Jeder, der ihn besitzt, ist mörderisch besessen von ihm.;;;;;;;;Ksthvr;;;"Jedes Mal wenn du einen Raum betrittst rufst du laut „Ich bin es!"" – für den Fall dass jemand wartet";
;;Ein verrotteter Kuchen mit einer Metallklinge in der Mitte.;;;;;;;;Drfntg;;;;
;;Ein warmer Metallstab. Seltsamerweise bleibt er warm. Außerdem wird einem heftig übel, wenn man ihn zu lange festhält.;;;;;;;;Wstrpkl;;;;
;;Ein wirklich schöner Türstopper. Das Ding sieht aus, als könnte es eine Tür ziemlich gut offen halten.;;;;;;;;Chtlvgr;;;;
;;Ein Wurf verwilderter Kätzchen, die in der Brusthöhle eines ausgetrockneten Leichnams leben. Eines bösartiger als das andere.;;;;;;;;Hkrvntz;;;;
;;Eine alte, vertrocknete Leiche, die mit Bolzen und Pfeilen übersät ist. Sieht aus, als sei sie für Schießübungen benutzt worden.;;;;;;;;Pzktrml;;;;
;;Eine eiserne Maske mit einem grimmigen Totenkopfgesicht. Wenn sie getragen wird, kann sie nicht durch nichtmagische Mittel entfernt werden.;;;;;;;;Nskrvth;;;;
;;Eine Flasche mit sehr starkem Leim, hergestellt aus Pech und menschlichem Knochenstaub.;;;;;;;;Grktfnl;;;;
;;Eine Glasharmonika, die mit einer zuckerhaltigen dunklen Flüssigkeit gefüllt ist.;;;;;;;;Vsknrpl;;;;
;;Eine Henkersuniform mit einer furchterregenden Kapuze.;;;;;;;;Brhntsk;;;;
;;Eine hölzerne Puzzleschachtel. Wenn das Rätsel gelöst ist, gleitet ein schwarzer Finger heraus. Auf wen er zeigt, der beginnt zu ersticken.;;;;;;;;Ztlvfgr;;;;
;;Eine Keramikpuppe, die mit extrem brennbarem Öl gefüllt ist.;;;;;;;;Mkrthnsk;;;;
;;Eine kleine Kiste mit wichtigen medizinischen Hilfsmitteln. Starke Schienen, Verbände und Alkohol.;;;;;;;;Xvrkbltz;;;;
;;Eine kleine Topfpflanze. Vielleicht fleischfressend? Sie versucht, an deinen Fingern zu knabbern.;;;;;;;;Dtshkrvn;;;;
;;Eine künstliche Nase. Quietscht, wenn man sie zusammendrückt.;;;;;;;;Glpftchr;;;;
;;Eine Laterne mit fleischfarbenen Schirmen. Wirft ein unheimliches rotes Licht.;;;;;;;;Nzkvrtsch;;;;
;;Eine magische, selbstspielende Geige. Du hast schon bessere gehört.;;;;;;;;Rhlkvntm;;;;
;;Eine riesige, alte, verrostete Axt, in deren Stiel ein Name eingeritzt ist: „Thorn“.;;;;;;;;Arveluthandroskva;;;;
;;Eine rosa Flasche in Form einer Wolke. Der Schleim darin macht das Wasser sehr sprudelnd.;;;;;;;;Belkormundraveth;;;;
;;Eine Schachtel mit Ohrringen. Den Ohrringen nach zu urteilen, wurden sie wahrscheinlich abgerissen.;;;;;;;;Grittnalverhuskodan;;;;
;;Eine schöne Kieferholzkiste mit nagelneuen Fackeln.;;;;;;;;Tharuveldmostikan;;;;
;;Eine schwere schwarze Lederschürze. Verschiedene nützliche Werkzeuge in den Taschen.;;;;;;;;Kvelanthorbarusch;;;;
;;Eine sehr scharfe und robuste Säge.;;;;;;;;Ulfvarendragathmul;;;;
;;Eine winzige Pfeife mit hohem Ton. Lenkt Hunde ab, aber Menschen können sie nicht hören.;;;;;;;;Skelmorvathandriel;;;;
;;Fünfzig Fuß aufgerolltes, stahlverstärktes Seil. Viel schwerer und viel stärker als ein normales Seil.;;;;;;;;Darvunkelthosgrima;;;;
;;;;;;;;;;Vethkulandaromskel;;;;
;;;;;;;;;;Nortgavelthimbruvask;;;;
;;;;;;;;;;Hargulvendrathoskim;;;;
;;;;;;;;;;Albrimthorveldkanus;;;;
;;;;;;;;;;Quelvanthorskimdara;;;;
;;;;;;;;;;Jotnarvelgundramoth;;;;
;;;;;;;;;;Mürkelvandrathoskum;;;;
;;;;;;;;;;Falthundraveskimonar;;;;
;;;;;;;;;;Bröntharvelguskidam;;;;
;;;;;;;;;;Walgrimthovundreskal;;;;
;;;;;;;;;;Snörvandelthorbuskim;;;;
;;;;;;;;;;Prügelvandrathoskimun;;;;
;;;;;;;;;;Vael’drun’thask;;;;
;;;;;;;;;;Krul’veth’arn;;;;
;;;;;;;;;;Jor’khal’trüm;;;;
;;;;;;;;;;Brag’noth’vel;;;;
;;;;;;;;;;Thar’gul’venn;;;;
;;;;;;;;;;Skel’var’thun;;;;
;;;;;;;;;;Mur’dak’hel;;;;
;;;;;;;;;;Vrol’thag’rim;;;;
;;;;;;;;;;Kel’dras’vorn;;;;
;;;;;;;;;;Hruk’vel’dar;;;;
;;;;;;;;;;Zorn’gul’thesk;;;;
;;;;;;;;;;Narg’thrul’vask;;;;
;;;;;;;;;;Vel’drim’kor;;;;
;;;;;;;;;;Ulv’nash’gra;;;;
