Ausrüstung 1;Ausrüstung 2;Ausrüstung 3;Ausrüstung 4;Waffe;Rüstung;Waffe (mit Schriftrolle);Rüstung (mit Schriftrolle);Unreine Schriftrollen;Heilige Schriftrollen;Name;Schreckliche Eigenschaften;Kaputte Körper;Schlechte Angewohnheiten;Beunruhigende Geschichten;Art des Todes;Offene Schuld
;Wachssiegel eines unbekannten Adligen;Ein sehr effektiver Satz Ohrenschützer. Hält das Geschrei in Schach.;Geldbeutel mit {W10} Silber;Kriegsdengel W6 Schaden;Rüstung aus Muscheln von Seeungeheuern (-W6 Schaden, Stufe 1);;;Nuscheln;Schwarzes Pathos;Karg;Rituell;Schorfige Hautschuppen, die überall verteilt werden.;Du misstraust jedem, der dir zustimmt. Widerspruch interpretierst du als Zeichen von Ehrlichkeit.;Du bist davon überzeugt, dass du hörst, wie jemand aus dem Jenseits in abscheulichen Sprüchen zu ihnen spricht.;Gestorben, als du versuchtest, eine arkane Katastrophe „auszuprobieren, nur einmal“.;Du hast ein lebendes Wesen in ein Objekt gebannt – und dann vergessen, welches.
;Halbgegessener Keks, steinhart;Ein seltsamer schwarzer Todespilz, der auf einem Knochen wächst. Wenn er gegessen wird, kann er entweder den Tod oder hilfreiche Visionen verursachen.;abgenutzter Gürtel;Kriegsscythe W10 Schaden;Rüstung mit großen gravierten Metallplättchen (-W6 Schaden, Stufe 1);;;Ohrwurm;Schweigen der Wunden;Vagal;Brutal;Ständig tropfende Nase. ;Du glaubst, dass alle anderen im Raum bereits eine Abmachung gegen dich getroffen haben.;Du trägst eine sich straffende Krone aus steinernen Dornen. Jeden Tag besteht eine 5 %ige Chance, dass sie so fest wird, dass sie den Schädel zerbricht.;Vom Leviathan verschluckt und nach Tagen wieder ausgespuckt, da warst du schon tot.;Du hast eine ganze Gemeinschaft in den Selbstmordkult geführt, obwohl du selbst nie daran glaubtest.
;Leere Medizinflasche, riecht noch;Ein seltsames Stück Kreide. Wenn du etwas zeichnest, wird es real. Es bleibt sehr wenig übrig.;Sack mit toten Ratten;Wurfmesser W4 Schaden;Samt-Brigandine (-W6 Schaden, Stufe 1);;;Platzen;Segen des Blinden;Karva;Unberechenbar;Fehlender Bauchnabel.;Du glaubst bedingungslos dem Letzten, das dir gesagt wurde. Immer.;Du wirst von einem grün gefärbten Stern über dir am Himmel verfolgt. Jede Nacht wird er größer.;Zerrissen von einer Menge Untoter, die du selbst durch Unachtsamkeit geweckt hast.;Du hast die Albträume anderer mit einem Ritual absichtlich verstärkt, um sie gefügig zu machen.
;Würfel dem eine Seite fehlt;Ein Skelettschlüssel. Hergestellt aus echten Skeletten.;vergoldeter Schädel im Wert von {W20+10} Silber;Wurfaxt W6 Schaden;Samurai-Stil Rüstung (-W6 Schaden, Stufe 1);;;Respekt;Segen des Knochens;Vatan;Naiv;Knollige Wucherung am Hals. Sie bewegt sich, wenn niemand sie ansieht.;Du bist fest überzeugt, dass du bereits tot bist und das hier nur eine Prüfung ist. Du verhältst dich entsprechend entspannt.;Du hast eine Reihe von Morden in Galgenbeck begangen, gerechtfertigt oder nicht. Du vergräbst ein Messer in jeder Abenddämmerung.;Einfach im Bett eingeschlafen und nicht mehr aufgewacht – was in dieser Welt eindeutig verdächtig ist.;Du hast dem Kalender von Nechrubel einmal absichtlich eine Seite übersprungen, um das Ende zu beschleunigen.
;Zertifikat für etwas Nicht-Existentes;Ein Spielzeugfisch, der einem echten Fisch sehr ähnlich sieht.;Stiefel (passt nicht);Blasrohr W2 Schaden;Schnüre aus geflochtenen Fasern (-W2 Schaden, Stufe 1);;;Rotgut;Siegel der Schwelle;Katla;Vorurteilsbehaftet;Spröde und rissige Lippen.;Du bittest jeden, der dir begegnet, um eine letzte Beichte — für alle Fälle.;Dich verzehrt der Hass auf das Feuer. Du trägst drei Wasserhäute. Du weinst beim Anblick von Flammen.;;
;"Sehr kleines Buch, nur ein Wort darin: „Nein""";Ein Stock mit einem starken Magneten am Ende.;{W10} Pfeile;Schleuder W4 Schaden;Schuppenpanzer aus Knochen (-W4 Schaden, Stufe 1);;;Ruderboot-Cop;Stimme des Abgrunds;Von;Vulgär;Schmerzhafter Durchschnittsmensch.;Du redest mit dem Jenseits wie mit einem bürokratischen Amt. Du beschwerst dich regelmäßig über die Wartezeiten.;Du hörst seltsame und schöne Musik aus Gruben. Du bist gezwungen zu folgen.;;
;Pfeife ohne Tabak;Ein Tausendfüßler mit einem lächelnden menschlichen Gesicht.;Buch: Die Nachtkönigin;Oberschenkelknochen eines Riesen W8 Schaden;Schwarz gestrichene, kugelsichere Garnisonsrüstung (-W6 Schaden, Stufe 1);;;Scham;Stimme des Verurteilten;Keftar;Schlampig;Gesicht bedeckt mit Eiterbeulen.;Du glaubst, dass du schon einmal hier warst. Du erinnerst dich an falsche Details mit erschreckender Überzeugung.;Als du einen schrecklichen Geist gesehen hast, wurden alle deine Haare weiß.;;
;Münze eines abgeschafften Königreichs;Ein Teppich, der aus menschlichem Haar gestrickt ist.;ausgestopfte Elster;Angebundener Ziegelstein W4 Schaden;Schwere Schuppenrüstung (-W6 Schaden, Stufe 1);;;Scheinbarer Stuhl;Tierische Sprache ;Vrakh;Impulsiv;Kleinwüchsig.;Du bist der Meinung, dass dein Tod ein Verwaltungsfehler war — und verlangst eine Korrektur.;Als Kind hast du einen seltsamen Pilz gegessen, der auf einem anderen Pilz wuchs. Du warst nie wieder derselbe.;;
;Knäuel Wolle, verheddert;Faden ohne Nadel;Schlachtermesser (W4);Rostiger Ankerhaken W6 Schaden;SchwereWandteppich-Rüstung (-W4 Schaden, Stufe 1);;;Schlechter Ratschlag;Träne des Heiligen;Klort;Berechnend;Knochen, die bei jeder Bewegung knacken.;Du behandelst alle anderen Seelen als ob sie noch nicht wüssten, dass sie tot sind. Du schonst sie.;Als Kind hast du Geister gesehen und mit ihnen gesprochen. Sie sprechen nicht mehr mit dir.;;
;Zahn (nicht der eigene, zu groß);Nadel ohne Faden;{W20} Silber;Kirchenglocke W10 Schaden;Seltsame Kraft projizierende goldene Kugeln (-W8 Schaden, Stufe 1);;;Schnupfen;Umarmung des Grabes;Vresi;Pedantisch;Größer als die meisten.;Du nimmst das Jenseits persönlich. Was immer hier entschieden wird, es richtet sich gegen dich. Das ist sicher.;Als Kind wurdest du von Sklavenhändlern gefangen genommen und in den Kampfarenen großgezogen.;;
;kleiner, aber bösartiger Hund ({W6+2} LP, Biss W4, gehorcht nur dir);Sehr flacher Stein, schön zum Drüberstreicheln;Krug mit fermentiertem Fisch;Fleischerbeil W6 Schaden;Synthesehaut-Overall mit leuchtenden Intarsien (-W8 Schaden, Stufe 1);;;Schweigender Pilz;Unerfüllter Wunsch ;Kratar;Leichtgläubig;Gebrochene Nase, für immer krumm.;Alles was du sagst klingt nach einem Abschied.;Beim Fällen eines alten Baumes hast du die Leiche eines Zauberers gefunden.;;
;{W4+1} Affen, die dich ignorieren, aber lieben (4 LP, schlagen/beißen W4);Kleines Glas mit einem einzigen eingelegten Gurkenrest;Mausefalle (1 Schaden);Schaufel W6 Schaden;Tosei-Gusoku emaillierte Eisenplatten-Rüstung (-W8 Schaden, Stufe 1);;;Sortieren;Verdopplung des Elends;Wemut;Anspruchsvoll;Der Bauch erzählt Geschichten von zu vielen Bieren.;Du nickst bei allem so überzeugend, dass andere annehmen, du hast zugestimmt.;Deine Eltern haben dich Fünfzehn genannt. Sie haben sich nie die Mühe gemacht, dir einen richtigen Namen zu geben.;;
;exquisites Parfüm im Wert von 25s;Namensschildchen einer anderen Person;schwarze und weiße Gesichtsfarbe;Eisenstange W4 Schaden;Uralte Endura-Glassplitter-Schuppen (-W6 Schaden, Stufe 1);;;Spritzen;Wacht des Toten;Aelthar;Weinerlich;Völlig und vollkommen haarlos.;Du kannst keine Frage unbeantwortet lassen — auch wenn die ehrliche Antwort dich belastet.;Du lebst von einem Goldvorrat, den du gefunden hast. Jemand wird bestimmt danach suchen.;;
;Werkzeugkasten 10 Nägel, Zange, Hammer, kleine Säge und Bohrmaschine;Hälfte einer Schere;Leinensack mit Körperteilen;Kandare W4 Schaden;Vergoldete Turnierplatte (-W8 Schaden, Stufe 1);;;Steinschlag;Zunge des Wurms;Arvün;Undankbar;Gespaltene Zunge.;Du hörst zu wie ein Verhörbeamter. Stille, Augenkontakt, keine Reaktion. Es macht die meisten nervös.;Du trägst das Zeichen von Goonfun, dem Retter.;;
;schwere Kette 5 Meter;Rollbandmaß, nur 4cm lang;zerbrochener Spiegel;Abgebrochener Kelch W4 Schaden;Zahlreiche Bandoliere, gefüllt mit Messinghülsen (-W4 Schaden, Stufe 1);;;Stuhl schwächen;;Brakt;Egozentrisch;Augenlider mit Kohle bemalt, immer.;Du entschuldigst dich ständig — für Dinge, die du nicht getan hast. Noch nicht.;Du warst ein Handelsmatrose, bis du gefangen genommen und gezwungen wurdest, als Pirat zu arbeiten.;;
;Enterhaken;Fingerhut, viel zu groß;lange Eisenkette;Büßergeisel 2W4 Schaden;Nasse Leinwand-Tunika (+W1 Schaden, Stufe -1);;;Taumeln;;Brumn;Oberflächlich;Hässliche Narbe, wo früher die Lunge war.;Du erinnerst dich an die Schuld anderer mit perfekter Genauigkeit. An deine eigene kaum.;Ein ausländischer Würdenträger wurde vergiftet. Du warst der Koch.;;
;Schild (-1 LP Schaden oder den Schild brechen, um einen Angriff zu ignorieren);Leere Vogelpfeife;"Buch: ""Zauberer-Kampf""";Lauch W2 Schaden;Rostige Kettenreste (-W1 Schaden, Stufe 0);;;Tenser's Gloating Disc;;Dagrul;Furchtlos;Geboren mit sechs Fingern an jeder Hand.;Du glaubst aufrichtig, dass alle hier aus denselben Gründen sind wie du. Das stimmt nie.;Ein großer Musiker hat einmal dein Dorf besucht und dir ein Lied beigebracht, das alle Zuhörer begeistert.;;
;Brechstange (W4 Schaden);Kartenspiel, drei Karten fehlen;gebogenes Ritualmesser (W4);Toter Fisch W2 Schaden;Durchlöcherte Wachstuchjacke (-W1 Schaden, Stufe 0);;;Tinte;;Darvek;Intrigant;Kleine Augen, die jeden misstrauisch machen.;Wenn du etwas Falsches getan hast, redest du so lange darum herum, bis jemand anderes sich entschuldigt.;Ein Straßenräuber hat dich gezwungen, eine Münze zu werfen, um dein Leben oder das deines Bruders zu gewinnen. Die Münze landete auf der Seite und verschonte euch beide.;;
;Schmalz (kann notfalls als 5 Mahlzeiten verwendet werden);Karte eines Ortes der nicht existiert;Kettenhemd, Torso noch darin;Käsereibe W2 Schaden;Verrußtes Festgewand aus dünner Seide (+W2 Schaden, Stufe -1);;;Tpyo;;Drösk;Nörgelnd;Haare grob wie Borsten.;;Ein verrückter Angelunfall hat dich deine Hand gekostet. Aber dieser Haken funktioniert ziemlich gut.;;
;Zelt;Karte eines Ortes, völlig falsch gezeichnet;Hundehalsband mit Kette;Suppenkelle W2 Schaden;Zerfetztes Banner als Umhang (-W0 Schaden, Stufe 0);;;Traurige Geige;;Dvorn;Schicksalsergeben;Schlechter Rücken und schlechte Körperhaltung.;;Ein verrückter Kanuunfall hat dich dein Bein gekostet. Aber du hast dich an den Ruderstumpf gewöhnt.;;
;{PRÄ+4}x Fackel;Sehr langer Bindfaden, nutzlos verknüpft;Beutel mit Salz;Sehr schweres Buch W4 Schaden;Blecherne Topfdeckel-Brustplatte (-W1 Schaden, Stufe 0);;;Umrühren;;Elbrü;Sprunghaft;Du glaubst du entwickelst Kiemen und musst zu einem Wasserbewohner werden.;;Mit dem Blut deiner ersten Tötung noch an deinen Händen, wurde dir deine wahre Bestimmung klar.;;
;Laterne mit Öl für {PRÄ+6}h;Kleines Kissen, durchgeschwitzt;rußiger Silberring;Lebende Gans W2 Schaden;Enger Wollpullover mit Metallknöpfen (-W1 Schaden, Stufe 0);;;Verdammter Fleck;;Fargha;Kalt;Deine linke und rechte Hand sind vertauscht.;;Nachdem du deinen Ehering wegen einer Spielschuld verloren hattest, hat dich die Liebe deines Lebens verlassen.;;
;Magnesiumband;Huf eines unbekannten Tieres;Wimpel von einem gesunkenen Schiff;Nasser Lappen W1 Schaden;Vollgestopfter Strohumhang (brennt gut) (+W2 Schaden, Stufe -1);;;Verschone die Lebenden;;Fetmal;Abergläubisch;Ein dunkler Nebel umgibt deinen Kopf.;;Vor langer Zeit hast du eine Rieseneule aus einer Schlingenfalle gerettet. Sie kommt immer noch gelegentlich zurück, um dir zu helfen.;;
;Feuerstahl und Zunder;Parfümflakon, riecht nach nichts;gehäutete menschliche Haut;Kerzenständer W4 Schaden;Lederweste mit dekorativen, aber hohlen Nieten (-W1 Schaden, Stufe 0);;;Verunreinigen;;Florn;Schnippisch;Eine dicke, stinkende Flüssigkeit tritt aus deinem Mund aus, sobald du sprichst.;;Du kannst Lügen schmecken. Seit du das weißt, kannst du fast niemanden mehr ansehen.;;
;Phosphorröhrchen (einmalig, sehr helles Licht für W4 Runden);Münze mit zwei identischen Seiten;Decke (mit Flöhen);Harke W4 Schaden;Schuppen aus getrocknetem Brot (+W2 Schaden, Stufe -1);;;Zeitkontrolle;;Garvek;Öde;Dir wächst ein zusätzliches Bein.;;Du hast einmal in einem Traum einen Ort gesehen, den es eigentlich nicht gibt. Seitdem versuchst du, ihn zu finden. Du bist dir nicht mehr sicher, ob das eine gute Idee ist.;;
;Metallfeile und Dietriche;Kleines Säckchen Sand;verkohlte Metallhalskette;Gefrorener Schinken W6 Schaden;Dünne Glas-Überrobe mit Rissen (+W2 Schaden, Stufe -1);;;Ziegenkäse;;Glötna;Unruhig;Fünf Zoll lange Fingernägel. Sie wachsen einfach weiter.;;"Du wurdest von einem blinden Orakel in Grift berührt. Es sagte: „Du wirst die letzte Person sein, die stirbt."" Seitdem bist du dir nicht sicher, ob das gut oder schrecklich ist.";;
;Brechstange;Kleines Säckchen noch feinerer Sand;zerbrochene Leder-Rüstung;Bettstatt-Bein W4 Schaden;Kettenhemd aus Draht und Büroklammern (-W1 Schaden, Stufe 0);;;Zupfen;;Gremul;Goldfieberisch;Schleimige Schuppen wachsen über deine Haut.;;Du kannst keine Musik mehr hören, ohne zu weinen. Du weißt nicht warum. Es passiert auch bei Vogelgesang. Und bei Windgeräuschen. Und beim Knarren von Holz.;;
;Hammer und {W6+4}x Eisennägel;Getrockneter Frosch, flach;{W4}x Goldzahn im Wert von je 10s;Kleines Kind W2 Schaden;Rüstung aus geschnürten Tierblasen (+W1 Schaden, Stufe -1);;;Zwicken;;Grutva;Ein Tyrann;;;Du vertraust Tieren mehr als Menschen. Das hat bisher meistens gut funktioniert. Meistens.;;
;Enterhaken mit 10m Seil;Knopf mit eingesticktem beleidigenden Kommentar;Schere (W4);Sack voller Mäuse W2 Schaden;Messingdraht-Korsett (-W1 Schaden, Stufe 0);;;;;Halvorn;Beleidigend;;;Jeder, dem du sagst, dass du aus deiner Heimatstadt kommst, schaut dich seltsam an. Du hast inzwischen herausgefunden: Die Stadt existiert nicht mehr. Schon seit zwanzig Jahren nicht.;;
;Seil 10m;Sehr detailliertes Bild eines Kohlkopfes;Spitzhacke (W4);Weinschlauch W2 Schaden;Patchwork-Rüstung aus gesammelten Schilden (-W2 Schaden, Stufe 0);;;;;Hentrul;Barbarisch;;;Eine Inquisitorin der Basilisken hat dich dreimal verhört und dreimal freigelassen. Beim vierten Mal wird sie das nicht mehr tun.;;
;Schwere Kette 5m;Kleines Holzpferd, ein Bein fehlt;Halsband mit Pentagramm-Amulett;Riesiger Rettich W2 Schaden;Leuchtender Stoffoverall, zieht Angriffe an (+W1 Schaden, Stufe -1);;;;;Hlort;Klagend;;;Du schuldest der Einäugigen Diebesgildenchefin von Galgenbeck einen Gefallen. Sie hat noch nicht gesagt, welchen. Das ist das Schlimmste daran.;;
;Schaufel;Zahnbürste ohne Borsten;blutiger Bohrer;Käfig mit wütender Katze W4 Schaden;Mit Stroh ausgepolsterte Gardinen-Robe (-W1 Schaden, Stufe 0);;;;;Hruveg;Kritisch;;;Die Ritter der Blutgräfin suchen dich – nicht wegen eines Verbrechens, sondern weil Anthelia träumt, dass du ihr etwas Wichtiges nehmen wirst.;;
;Zange;Trichter ohne Öffnung am Ende;Buch der Psalmen;Spazierstock W2 Schaden;Gefrorener Schlammbrustpanzer (schmilzt schnell) (-W0 Schaden, Stufe 0);;;;;Jalvik;Zerstörerisch;;;Ein Nekromant hat dich verflucht, stellvertretend für jemand anderen. Er hat die falsche Person erwischt. Er weiß es. Er sucht dich, um es zu korrigieren. Auf seine Art.;;
;Kleiner Spiegel (um Ecken zu schauen);Leere Tabakdose mit fremden Initialen;Maske mit Vogelschnabel;Frisch gebackenes Brot W1 Schaden;Rüstung aus Dutzenden Löffeln und Gabeln (+W1 Schaden, Stufe -1);;;;;Jertha;Oberflächlich;;;Du hast einen Brief abgefangen, der nie für dich bestimmt war. Der Absender weiß, dass du ihn hast. Der Empfänger auch.;;
;Kreide {W6+4}x (Markierungen, Zeichen);Kerze, bereits heruntergebrannt und nie aufgehört;Holzkohlezeichnung eines Dämons;Tamburin W2 Schaden;Goldene Zeremonienrüstung aus dünnem Blech (-W1 Schaden, Stufe 0);;;;;Kalthu;Unreif;;;Eine Sekte glaubt, dass du ihre Prophezeite bist. Du bist es nicht. Das macht es nicht besser.;;
;Kletterausrüstung (Haken, Riemen);"Zettel: „Nicht vergessen"" – nichts weiter";ein halber toter Hund;Unsichtbare Waffe W2 Schaden;;;;;;Kelbrün;Wankelmütig;;;Du sammelst Zähne. Du weißt nicht warum. Du hörst nicht auf.;;
;Hausapotheke {PRÄ+4}x (stoppt Blutungen/Infektionen, heilt W6 LP);Steinerner Würfel, alle Seiten zeigen eine 3;ziemlich ausgefallene Augenklappe;;;;;;;Klarveg;Zynisch;;;Ein kleines, schweigendes Kind folgt dir seit drei Wochen. Du kannst es nicht loswerden. Niemand sonst scheint es zu sehen.;;
;Verbandsmaterial {W4+2}x (stoppt Blutungen);Fingerring, zu groß für jeden menschlichen Finger;Hammer und ein paar Nägel;;;;;;;Knutha;Nachsichtig;;;Du hast einmal in Sarkash eine Frucht gegessen, die es nicht geben sollte. Seitdem können Tiere deine Stimmung riechen. Sie meiden dich bei schlechter Laune.;;
;Gegengift {W2}x (Zähigkeit Sg10 entfällt);Ein Schädel mit einer frischen Rose darin. Die Rose welkt nie. Der Schädel riecht trotzdem.;Kugel und Kette (und ein Fuß);;;;;;;Kvelm;Opportunistisch;;;Du hast einem sterbenden Wahrsager seine letzten Worte versprochen weiterzugeben. Du weißt nicht, an wen. Du weißt nicht, was sie bedeuten. Du kannst sie nicht vergessen.;;
;Wasserschlauch für {PRÄ+4} Tage;Ein Tagebuch ohne Einträge, aber jede Seite ist von Tränen gewellt.;scharfes Feuereisen (W4+1);;;;;;;Largun;Schwerfällig;;;"Ein Händler in Grift hat dir eine Kiste verkauft, ""für den richtigen Moment."" Sie ist verschlossen. Etwas darin atmet.";;
;Getrocknete Rationen für {PRÄ+4} Tage;Ein kleines Wachsfigürchen, das dir sehr ähnlich sieht. Du hast es nie besessen.;ein Paar warme Socken (durchnässt);;;;;;;Leskri;Spießig;;;Du hast als Kind in Graven-Tosk gespielt und dabei aus Versehen ein Grab geöffnet. Etwas darin hat dein Gesicht gesehen. Es sucht dich.;;
;Salz (konserviert, desinfiziert, hält manche Dinge fern);"Ein Zahn in einem Medaillonanhänger. Auf der Innenseite steht: „Damit du mich nicht vergisst.""";Kiste mit schwarzen Federn;;;;;;;Lortva;Machthungrig;;;Du hast in Galgenbeck eine Predigt gehalten, die alle Zuhörer zum Weinen brachte. Du weißt nicht mehr, was du gesagt hast. Alle, die es gehört haben, suchen dich.;;
;Bärenfalle (Präsenz Sg14 zum Entdecken, W8 Schaden);"Ein Buch über Giftpilze. Jemand hat die gefährlichsten mit „lecker"" kommentiert.";beschädigtes Wolfsfell;;;;;;;Malturn;Übertrieben phantasievoll;;;Du warst Henker in Kergs, bis du begannst, die Hingerichteten im Traum zu sehen. Sie geben dir Ratschläge. Meistens schlechte.;;
;Bombe (versiegelte Flasche, W10 Schaden);"Ein eingemachtes Glas mit einem menschlichen Ohr. Frisch beschriftet: „Fundstück, Kergs.""";verdorbenes Fleisch (2 Tage lang);;;;;;;Marveg;Scheinheilig;;;Du hast für König Fathmu XI. eine Karte zu einem verbotenen Ort gestohlen. Die Karte hat sich inzwischen selbst verändert. Sie zeigt jetzt deinen Standort.;;
;{W4}x rotes Gift (Zähigkeit Sg12 oder W10 Schaden);Eine Kerze aus Menschenfett. Brennt sehr gleichmäßig. Riecht verdächtig heimelig.;kleines Kästchen mit einer weißen Murmel;;;;;;;Methrul;Angespannt;;;Du warst Mitglied einer Theatergruppe, bis alle anderen Mitglieder spurlos verschwanden. Die Kostüme blieben zurück. Sie bewegen sich nachts.;;
;{W4}x schwarzes Gift (Zähigkeit Sg14 oder W6 Schaden + Blindheit 1h);Ein Würfelbecher aus einem ausgehöhlten Fingerknochen. Sehr ergonomisch.;Krug mit einer Nadel darin;;;;;;;Mürga;Trendig;;;Du hast einen Priester der Basilisken beim Stehlen erwischt. Er weiß, dass du weißt. Du weißt, dass er dich sucht.;;
;{W3}x Rauchbombe (Sichtweite 0 für W4 Runden);Ein Brief, adressiert an dich, datiert auf nächsten Monat. Der Inhalt ist eine Entschuldigung.;hölzernes Gebiss;;;;;;;Narvek;Eifrig;;;Als Wachmann hast du aus Mitleid einen Gefangenen freigelassen. Der Gefangene hat dann etwas Schreckliches getan. Du wirst damit in Verbindung gebracht.;;
;Blasrohr mit {W6+4}x Giftpfeilen (Zähigkeit Sg10 oder W4 Schaden);Ein Tintenfass, das sich selbst nachfüllt. Die Tinte ist immer etwas zu warm.;Glücksbringer (na ja...);;;;;;;Nlthor;Zornig;;;Du hast für ein Jahr in den Minen unter Bergen Chrypt gearbeitet. Was du dort gesehen hast, darf niemand wissen. Du redest nicht darüber. Außer im Schlaf.;;
;Streumetall (auf Boden: Geschick Sg12 oder W4 Schaden, verlangsamt);Ein aufgezogenes Spielzeugherz. Tickt. Hört auf, wenn jemand in der Nähe stirbt.;W6 leere Schriftrollen;;;;;;;Nögrith;Ängstlich;;;Jedes Mal, wenn du lügst, wächst ein weiterer Finger an deiner linken Hand. Du trägst inzwischen einen sehr großen Handschuh.;;
;Silbernes Kruzifix;Ein Spiegel, der nur lächelt, egal was du machst.;Laterne;;;;;;;Peltrum;Egoistisch;;;Du hast das Fleisch eines Zauberers gegessen, um zu überleben. Seitdem sprechen seine Gedanken in dir. Sie sind nicht freundlich.;;
;Hölzernes Kruzifix;Ein Buch mit leeren Seiten außer der letzten: eine detaillierte Beschreibung deines Todes.;ein Paar hölzerne Handschellen;;;;;;;Quarva;Steif;;;Deine Schatten bewegt sich nicht mehr synchron zu dir. Manchmal macht sie Dinge, die du gar nicht tust.;;
;Schutzsymbol gegen Untote (einmalig verwendbar);Eine Sanduhr, die nach oben läuft.;Gefäß mit 3 abgetrennten Daumen;;;;;;;Raktul;Rückgratlos;;;Ein Chirurg in Schleswig hat versehentlich eine zweite Zunge in deinem Hals zurückgelassen. Sie spricht manchmal im Schlaf. In einer Sprache, die du nicht kennst.;;
;Weihwasser {W2}x (W6 Schaden gegen Untote);Ein kleines Glasfläschchen mit einem Seufzer darin. Wenn geöffnet: traurig, aber erleichtert.;Verknotetes Knäuel aus Menschenhaar;;;;;;;Relvek;Zänkisch;;;Du stirbst jede Nacht kurz. Du wachst jeden Morgen auf. Seit einem Jahr fragst du dich, wann es aufhört.;;
;spitze Nadel;Eine Münze, die immer auf die gleiche Seite fällt, egal wie oft man wirft.;Daumenschraube;;;;;;;Rötma;Leichtgläubig;;;Dein linkes Auge sieht die Welt, wie sie in zehn Jahren aussehen wird. Das rechte sieht sie jetzt. Die Diskrepanz macht dich krank.;;
;Schreibzeug (Tinte, Feder, Pergament);Ein Knäuel schwarzer Wolle. Das Ende ist nirgends zu finden. Es wird nicht weniger.;sehr kleines Hufeisen;;;;;;;Salbrun;Streitsüchtig;;;Du hast eine Wette mit einem Dämon verloren. Er hat dein Spiegelbild behalten. Du hast keines mehr.;;
;Fernrohr (einfach, scratchy);Ein Notizbuch voller Zeichnungen von Türen. Keine davon existiert.;Schaufel (W4);;;;;;;Skortva;Offensichtlich;;;Eine Hexe hat dir dein Gewicht gestohlen. Du wiegst nichts. Starker Wind ist eine ernste Gefahr.;;
;Kleiner Wetzstein;"Eine Haarsträhne in einem versiegelten Umschlag, beschriftet: „Nicht verbrennen.""";Halskette aus Rattenzähnen;;;;;;;Skülm;;;;Du erbrichst jeden Vollmond kleine schwarze Steine. Sie sind warm. Sie hören auf zu zittern, wenn du sie weglässt.;;
;Flickzeug für Rüstung (1x Rüstung um 1 Stufe reparieren);Ein kleiner Holzkasten mit einem zufriedenen Summen darin. Geht nicht auf.;eine halbe Schatzkarte;;;;;;;Slarvek;;;;Deine Tränen sind Tinte. Du hast gelernt, damit zu schreiben. Die Texte sagen manchmal Dinge voraus.;;
;Verschlossenes Tagebuch (leer, aber gut gebunden);Eine Puppe ohne Gesicht. Jeden Morgen sitzt sie anders.;Flasche mit rotem Gift;;;;;;;Snötha;;;;;;
;;Ein Buch mit Rezepten für Speisen, die alle mindestens einen menschlichen Zahn als Zutat erfordern.;kleines Holzpferd;;;;;;;Talgrum;;;;;;
;;Ein Schlüsselbund mit 40 Schlüsseln. Einer davon öffnet etwas. Unbekannt was.;schwere Eisenzange;;;;;;;Tarkvül;;;;;;
;;Ein sehr kleines Aquarium. Das Wasser ist schwarz. Es bewegt sich trotzdem etwas darin.;schwarzer Sack mit einem Katzenherz;;;;;;;Telthar;;;;;;
;;Eine Schachtel voller Zähne, säuberlich nach Größe sortiert. Sehr ordentlich geführt.;großer Klumpen Kohle;;;;;;;Trevga;;;;;;
;;Ein Kompass, der immer auf eine bestimmte Person in der Gruppe zeigt.;zwei abgetrennte Hände;;;;;;;Ulvarg;;;;;;
;;Ein Kinderschuh. Nur einer. Innen steht ein Name, den du nicht aussprechen kannst.;kindergroße eiserne Jungfrau;;;;;;;Ürtmal;;;;;;
;;"Eine Flasche Wein, speziell abgefüllt für „den letzten Abend.""";;;;;;;;Velnug;;;;;;
;;Ein Notizbuch ausschließlich mit Strichlisten. In die Millionen gehend.;;;;;;;;Vörthan;;;;;;
;;Ein kleiner Käfig mit einer Feder darin. Die Feder bewegt sich, als wäre noch etwas da.;;;;;;;;Walgru;;;;;;
;;Ein Tontopf. Darin befindet sich ein großer roter Rubin aus Glas.;;;;;;;;Zaltrum;;;;;;
;;Ein toter Vogel an einer Schnur, die an das Ende eines Stocks gebunden ist. Sehr ablenkend.;;;;;;;;Gkrtvs;;;;;;
;;Ein totes Kaninchen mit einer Glückskaninchenpfote um den Hals.;;;;;;;;Blrntch;;;;;;
;;Ein totes, verwildertes Frettchen mit vier gebrochenen Füßen.;;;;;;;;Vzkhrl;;;;;;
;;Ein verfluchter Rubin. Jeder, der ihn besitzt, ist mörderisch besessen von ihm.;;;;;;;;Ksthvr;;;;;;
;;Ein verrotteter Kuchen mit einer Metallklinge in der Mitte.;;;;;;;;Drfntg;;;;;;
;;Ein warmer Metallstab. Seltsamerweise bleibt er warm. Außerdem wird einem heftig übel, wenn man ihn zu lange festhält.;;;;;;;;Wstrpkl;;;;;;
;;Ein wirklich schöner Türstopper. Das Ding sieht aus, als könnte es eine Tür ziemlich gut offen halten.;;;;;;;;Chtlvgr;;;;;;
;;Ein Wurf verwilderter Kätzchen, die in der Brusthöhle eines ausgetrockneten Leichnams leben. Eines bösartiger als das andere.;;;;;;;;Hkrvntz;;;;;;
;;Eine alte, vertrocknete Leiche, die mit Bolzen und Pfeilen übersät ist. Sieht aus, als sei sie für Schießübungen benutzt worden.;;;;;;;;Pzktrml;;;;;;
